|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
250	ngl	0.8333333333333334	0.6451612903225806	0.7272727272727272	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
300	rf	0.9090909090909091	0.6451612903225806	0.7547169811320754	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
300	rf	1.0	0.16129032258064516	0.27777777777777773	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
300	rf	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
300	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
300	rf	1.0	0.3225806451612903	0.4878048780487805	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
300	chi	0.8666666666666667	0.8387096774193549	0.8524590163934426	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
300	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
300	chi	0.84375	0.8709677419354839	0.8571428571428571	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
300	chi	0.9354838709677419	0.9354838709677419	0.9354838709677419	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
300	chi	0.8695652173913043	0.6451612903225806	0.7407407407407407	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
300	ngl	0.7931034482758621	0.7419354838709677	0.7666666666666667	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
300	ngl	0.8125	0.41935483870967744	0.5531914893617021	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
300	ngl	0.8055555555555556	0.9354838709677419	0.8656716417910448	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
300	ngl	0.9285714285714286	0.8387096774193549	0.8813559322033899	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
300	ngl	0.875	0.6774193548387096	0.7636363636363636	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
400	rf	0.875	0.6774193548387096	0.7636363636363636	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
400	rf	1.0	0.22580645161290322	0.3684210526315789	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
400	rf	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
400	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
400	rf	0.8947368421052632	0.5483870967741935	0.6799999999999999	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
400	chi	0.8666666666666667	0.8387096774193549	0.8524590163934426	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
400	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
400	chi	0.8709677419354839	0.8709677419354839	0.8709677419354839	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
400	chi	0.9333333333333333	0.9032258064516129	0.9180327868852459	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
400	chi	0.8636363636363636	0.6129032258064516	0.7169811320754716	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
400	ngl	0.8214285714285714	0.7419354838709677	0.7796610169491526	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
400	ngl	0.8421052631578947	0.5161290322580645	0.6399999999999999	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
400	ngl	0.8	0.9032258064516129	0.8484848484848486	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
400	ngl	0.9259259259259259	0.8064516129032258	0.8620689655172414	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
400	ngl	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
450	rf	0.875	0.6774193548387096	0.7636363636363636	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
450	rf	1.0	0.22580645161290322	0.3684210526315789	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
450	rf	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
450	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
450	rf	0.8947368421052632	0.5483870967741935	0.6799999999999999	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
450	chi	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
450	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
450	chi	0.8709677419354839	0.8709677419354839	0.8709677419354839	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
450	chi	0.9642857142857143	0.8709677419354839	0.9152542372881356	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
450	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
450	ngl	0.8620689655172413	0.8064516129032258	0.8333333333333334	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
