|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
250	rf	0.9230769230769231	0.2222222222222222	0.35820895522388063	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
250	chi	0.8723404255319149	0.7592592592592593	0.8118811881188118	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
250	chi	0.8	0.5925925925925926	0.6808510638297872	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
250	chi	0.7857142857142857	0.8148148148148148	0.7999999999999999	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
250	chi	0.8823529411764706	0.8333333333333334	0.8571428571428571	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
250	chi	0.9090909090909091	0.5555555555555556	0.6896551724137931	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
250	ngl	0.8	0.7407407407407407	0.7692307692307692	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
250	ngl	0.8695652173913043	0.37037037037037035	0.5194805194805194	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
250	ngl	0.7884615384615384	0.7592592592592593	0.7735849056603773	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
250	ngl	0.9148936170212766	0.7962962962962963	0.8514851485148516	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
250	ngl	0.8857142857142857	0.5740740740740741	0.6966292134831461	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
300	rf	0.9166666666666666	0.2037037037037037	0.3333333333333333	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
300	rf	0.9411764705882353	0.2962962962962963	0.45070422535211263	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
300	rf	0.8846153846153846	0.42592592592592593	0.575	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
300	rf	0.8775510204081632	0.7962962962962963	0.8349514563106796	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
300	rf	0.8333333333333334	0.8333333333333334	0.8333333333333334	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
300	chi	0.8333333333333334	0.7407407407407407	0.7843137254901961	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
300	chi	0.8461538461538461	0.6111111111111112	0.7096774193548387	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
300	chi	0.8035714285714286	0.8333333333333334	0.8181818181818182	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
300	chi	0.8867924528301887	0.8703703703703703	0.8785046728971964	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
300	chi	0.8888888888888888	0.5925925925925926	0.711111111111111	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
300	ngl	0.8301886792452831	0.8148148148148148	0.8224299065420562	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
300	ngl	0.875	0.3888888888888889	0.5384615384615385	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
300	ngl	0.8	0.7407407407407407	0.7692307692307692	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
300	ngl	0.9166666666666666	0.8148148148148148	0.8627450980392156	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
300	ngl	0.9117647058823529	0.5740740740740741	0.7045454545454545	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
400	rf	1.0	0.2962962962962963	0.45714285714285713	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
400	rf	0.9	0.3333333333333333	0.48648648648648646	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
400	rf	0.9032258064516129	0.5185185185185185	0.6588235294117647	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
400	rf	0.875	0.7777777777777778	0.823529411764706	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
400	rf	0.9411764705882353	0.2962962962962963	0.45070422535211263	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
400	chi	0.8076923076923077	0.7777777777777778	0.7924528301886792	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
400	chi	0.8717948717948718	0.6296296296296297	0.7311827956989246	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
400	chi	0.8333333333333334	0.8333333333333334	0.8333333333333334	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
400	chi	0.8846153846153846	0.8518518518518519	0.8679245283018868	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
400	chi	0.9	0.6666666666666666	0.7659574468085106	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
400	ngl	0.7321428571428571	0.7592592592592593	0.7454545454545455	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
400	ngl	0.88	0.4074074074074074	0.5569620253164557	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
400	ngl	0.8113207547169812	0.7962962962962963	0.8037383177570094	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
400	ngl	0.9166666666666666	0.8148148148148148	0.8627450980392156	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
400	ngl	0.9142857142857143	0.5925925925925926	0.7191011235955056	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
450	rf	1.0	0.2962962962962963	0.45714285714285713	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
450	rf	0.8571428571428571	0.3333333333333333	0.48	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
450	rf	0.9032258064516129	0.5185185185185185	0.6588235294117647	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
450	rf	0.875	0.7777777777777778	0.823529411764706	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
450	rf	0.9411764705882353	0.2962962962962963	0.45070422535211263	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
450	chi	0.84	0.7777777777777778	0.8076923076923077	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
450	chi	0.875	0.6481481481481481	0.7446808510638299	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
450	chi	0.8035714285714286	0.8333333333333334	0.8181818181818182	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
450	chi	0.8867924528301887	0.8703703703703703	0.8785046728971964	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
450	chi	0.9047619047619048	0.7037037037037037	0.7916666666666667	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
450	ngl	0.7727272727272727	0.6296296296296297	0.6938775510204083	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
450	ngl	0.8888888888888888	0.4444444444444444	0.5925925925925926	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
450	ngl	0.7924528301886793	0.7777777777777778	0.7850467289719626	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
450	ngl	0.8958333333333334	0.7962962962962963	0.8431372549019608	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
450	ngl	0.9142857142857143	0.5925925925925926	0.7191011235955056	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
